seasonStarting,team,averagePosession
2014,Arsenal,56.6
2014,Aston Villa,49
2014,Burnley,42.5
2014,Chelsea,55.9
2014,Crystal Palace,40.4
2014,Everton,54.7
2014,Hull City,44.2
2014,Leicester City,43.5
2014,Liverpool,55.8
2014,Manchester City,59.8
2014,Manchester Utd,61.2
2014,Newcastle Utd,47.7
2014,QPR,45.2
2014,Southampton,53.1
2014,Stoke City,50.4
2014,Sunderland,45.2
2014,Swansea City,50.1
2014,Tottenham,57
2014,West Brom,43.7
2014,West Ham,45.6
2015,Arsenal,58.3
2015,Aston Villa,46.4
2015,Bournemouth,51.2
2015,Chelsea,56.2
2015,Crystal Palace,45.8
2015,Everton,51.9
2015,Leicester City,42.6
2015,Liverpool,57.2
2015,Manchester City,56.9
2015,Manchester Utd,58.5
2015,Newcastle Utd,46.6
2015,Norwich City,46
2015,Southampton,49.2
2015,Stoke City,49.7
2015,Sunderland,41
2015,Swansea City,52.5
2015,Tottenham,57.4
2015,Watford,45.1
2015,West Brom,39.8
2015,West Ham,48.4
2016,Arsenal,58.9
2016,Bournemouth,51.5
2016,Burnley,40.3
2016,Chelsea,55.1
2016,Crystal Palace,45.4
2016,Everton,52.1
2016,Hull City,45.9
2016,Leicester City,41.9
2016,Liverpool,62
2016,Manchester City,65
2016,Manchester Utd,56.5
2016,Middlesbrough,47.3
2016,Southampton,54.4
2016,Stoke City,46.3
2016,Sunderland,39.7
2016,Swansea City,47.9
2016,Tottenham,60.5
2016,Watford,46.1
2016,West Brom,37.3
2016,West Ham,47.1
2017,Arsenal,61.5
2017,Bournemouth,47.8
2017,Brighton,43.7
2017,Burnley,43.9
2017,Chelsea,55.4
2017,Crystal Palace,45.3
2017,Everton,45.9
2017,Huddersfield,45.7
2017,Leicester City,47.9
2017,Liverpool,60.5
2017,Manchester City,71.1
2017,Manchester Utd,54.8
2017,Newcastle Utd,41.7
2017,Southampton,51.5
2017,Stoke City,41.3
2017,Swansea City,45.2
2017,Tottenham,61.9
2017,Watford,49.6
2017,West Brom,40.6
2017,West Ham,45
2018,Arsenal,58
2018,Bournemouth,46.8
2018,Brighton,42.6
2018,Burnley,41.2
2018,Cardiff City,35.6
2018,Chelsea,62.8
2018,Crystal Palace,45
2018,Everton,51.5
2018,Fulham,48.6
2018,Huddersfield,47
2018,Leicester City,51.1
2018,Liverpool,61.7
2018,Manchester City,67.8
2018,Manchester Utd,54.5
2018,Newcastle Utd,40.4
2018,Southampton,43.9
2018,Tottenham,58.9
2018,Watford,47.1
2018,West Ham,48.7
2018,Wolves,46.9
2019,Arsenal,54
2019,Aston Villa,43.9
2019,Bournemouth,43.8
2019,Brighton,52.2
2019,Burnley,41.4
2019,Chelsea,60.7
2019,Crystal Palace,44.5
2019,Everton,49.2
2019,Leicester City,57.6
2019,Liverpool,63.4
2019,Manchester City,66.9
2019,Manchester Utd,56.2
2019,Newcastle Utd,38.6
2019,Norwich City,49.3
2019,Sheffield Utd,43.1
2019,Southampton,49.3
2019,Tottenham,52.2
2019,Watford,42.5
2019,West Ham,44
2019,Wolves,48.3